shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
canonical-8000006,42.341455,-71.124030,130006,
canonical-8000006,42.341395,-71.124308,130007,
canonical-8000006,42.341197,-71.125113,130008,
canonical-8000006,42.341066,-71.125587,130009,
canonical-8000006,42.341066,-71.125587,140001,
canonical-8000006,42.341011,-71.125786,140002,
canonical-8000006,42.340989,-71.125874,140003,
canonical-8000006,42.340816,-71.126391,140004,
canonical-8000006,42.340768,-71.126517,140005,
canonical-8000006,42.340714,-71.126644,140006,
canonical-8000006,42.340661,-71.126790,140007,
canonical-8000006,42.340503,-71.127180,140008,
canonical-8000006,42.340421,-71.127394,140009,
canonical-8000006,42.340229,-71.127968,140010,
canonical-8000006,42.340122,-71.128337,140011,
canonical-8000006,42.340025,-71.128713,140012,
canonical-8000006,42.339942,-71.129045,140013,
canonical-8000006,42.339942,-71.129045,150001,
canonical-8000006,42.339887,-71.129266,150002,
canonical-8000006,42.339793,-71.129786,150003,
canonical-8000006,42.339718,-71.130272,150004,
canonical-8000006,42.339665,-71.130777,150005,
canonical-8000006,42.339642,-71.131063,150006,
canonical-8000006,42.339642,-71.131063,160001,
canonical-8000006,42.339624,-71.131299,160002,
canonical-8000006,42.339610,-71.131509,160003,
canonical-8000006,42.339599,-71.131969,160004,
canonical-8000006,42.339601,-71.132847,160005,
canonical-8000006,42.339612,-71.133492,160006,
canonical-8000006,42.339601,-71.133779,160007,
canonical-8000006,42.339573,-71.134112,160008,
canonical-8000006,42.339514,-71.134618,160009,
canonical-8000006,42.339471,-71.134827,160010,
canonical-8000006,42.339437,-71.134960,160011,
canonical-8000006,42.339376,-71.135194,160012,
canonical-8000006,42.339340,-71.135294,160013,
canonical-8000006,42.339340,-71.135294,170001,
canonical-8000006,42.339314,-71.135368,170002,
canonical-8000006,42.339198,-71.135644,170003,
canonical-8000006,42.339170,-71.135708,170004,
canonical-8000006,42.339115,-71.135897,170005,
canonical-8000006,42.339005,-71.136325,170006,
canonical-8000006,42.338651,-71.137838,170007,
canonical-8000006,42.338440,-71.138690,170008,
canonical-8000006,42.338440,-71.138690,180001,
canonical-8000006,42.338397,-71.138861,180002,
canonical-8000006,42.338414,-71.138769,180003,
canonical-8000006,42.338258,-71.139439,180004,
canonical-8000006,42.338055,-71.140278,180005,
canonical-8000006,42.337843,-71.141209,180006,
canonical-8000006,42.337716,-71.141820,180007,
canonical-8000006,42.337716,-71.141820,190001,
canonical-8000006,42.337655,-71.142111,190002,
canonical-8000006,42.337627,-71.142281,190003,
canonical-8000006,42.337536,-71.142709,190004,
canonical-8000006,42.337364,-71.143602,190005,
canonical-8000006,42.337201,-71.144355,190006,
canonical-8000006,42.337096,-71.144894,190007,
canonical-8000006,42.337044,-71.145168,190008,
canonical-8000006,42.336965,-71.145497,190009,
canonical-8000006,42.336934,-71.145643,190010,
canonical-8000006,42.336934,-71.145643,200001,
canonical-8000006,42.336628,-71.147112,200002,
canonical-8000006,42.336432,-71.147967,200003,
canonical-8000006,42.336397,-71.148102,200004,
canonical-8000006,42.336314,-71.148435,200005,
canonical-8000006,42.336152,-71.149188,200006,
canonical-8000008,42.377119,-71.094326,10001,
canonical-8000008,42.377084,-71.094261,10002,
canonical-8000008,42.376610,-71.093107,10003,
canonical-8000008,42.376414,-71.092464,10004,
canonical-8000008,42.376095,-71.090937,10005,
canonical-8000008,42.376042,-71.090565,10006,
canonical-8000008,42.375965,-71.089982,10007,
canonical-8000008,42.375514,-71.086390,10008,
canonical-8000008,42.375207,-71.083443,10009,
canonical-8000008,42.375168,-71.083187,10010,
canonical-8000008,42.375129,-71.082941,10011,
canonical-8000008,42.375095,-71.082714,10012,
canonical-8000008,42.375053,-71.082422,10013,
canonical-8000008,42.375011,-71.082121,10014,
canonical-8000008,42.374965,-71.081889,10015,
canonical-8000008,42.374927,-71.081748,10016,
canonical-8000008,42.374893,-71.081668,10017,
canonical-8000008,42.374826,-71.081528,10018,
canonical-8000008,42.374769,-71.081437,10019,
canonical-8000008,42.374694,-71.081342,10020,
canonical-8000008,42.374619,-71.081262,10021,
canonical-8000008,42.374552,-71.081192,10022,
canonical-8000008,42.374488,-71.081143,10023,
canonical-8000008,42.374321,-71.081098,10024,
canonical-8000008,42.374127,-71.080999,10025,
canonical-8000008,42.373996,-71.080904,10026,
canonical-8000008,42.373707,-71.080624,10027,
canonical-8000008,42.373447,-71.080345,10028,
canonical-8000008,42.373205,-71.079862,10029,
canonical-8000008,42.372184,-71.077722,10030,
canonical-8000008,42.372070,-71.077361,10031,
canonical-8000008,42.371947,-71.076976,10032,
canonical-8000008,42.371858,-71.076762,10033,
canonical-8000008,42.371718,-71.076548,10034,
canonical-8000008,42.371613,-71.076413,10035,
canonical-8000008,42.371525,-71.076329,10036,
canonical-8000008,42.371409,-71.076236,10037,
canonical-8000008,42.371256,-71.076114,10038,
canonical-8000008,42.371256,-71.076114,20001,
canonical-8000008,42.371250,-71.076109,20002,
canonical-8000008,42.371012,-71.075941,20003,
canonical-8000008,42.370578,-71.075403,20004,
canonical-8000008,42.370315,-71.074840,20005,
canonical-8000008,42.370240,-71.074681,20006,
canonical-8000008,42.369657,-71.073517,20007,
canonical-8000008,42.369377,-71.072975,20008,
canonical-8000008,42.368968,-71.072176,20009,
canonical-8000008,42.368429,-71.071138,20010,
canonical-8000008,42.367917,-71.070106,20011,
canonical-8000008,42.367683,-71.069654,20012,
canonical-8000008,42.367674,-71.069631,20013,
canonical-8000008,42.367674,-71.069631,30001,
canonical-8000008,42.367366,-71.068936,30002,
canonical-8000008,42.366933,-71.068095,30003,
canonical-8000008,42.366900,-71.068029,30004,
canonical-8000008,42.366707,-71.067651,30005,
canonical-8000008,42.366616,-71.067460,30006,
canonical-8000008,42.366512,-71.067251,30007,
canonical-8000008,42.366402,-71.067014,30008,
canonical-8000008,42.366303,-71.066764,30009,
canonical-8000008,42.366204,-71.066485,30010,
canonical-8000008,42.366089,-71.066057,30011,
canonical-8000008,42.366030,-71.065719,30012,
canonical-8000008,42.365971,-71.065460,30013,
canonical-8000008,42.365810,-71.064812,30014,
canonical-8000008,42.365664,-71.064487,30015,
canonical-8000008,42.365639,-71.064413,30016,
canonical-8000008,42.365627,-71.064332,30017,
canonical-8000008,42.365646,-71.064149,30018,
canonical-8000008,42.365682,-71.063979,30019,
canonical-8000008,42.365749,-71.063754,30020,
canonical-8000008,42.365954,-71.063284,30021,
canonical-8000008,42.366446,-71.062158,30022,
canonical-8000008,42.366505,-71.062022,30023,
canonical-8000008,42.366532,-71.061902,30024,
canonical-8000008,42.366554,-71.061694,30025,
canonical-8000008,42.366551,-71.061592,30026,
canonical-8000008,42.366530,-71.061508,30027,
canonical-8000008,42.366493,-71.061417,30028,
canonical-8000008,42.365743,-71.060677,30029,
canonical-8000008,42.365657,-71.060600,30030,
canonical-8000008,42.365657,-71.060600,40001,
canonical-8000008,42.363989,-71.059097,40002,
canonical-8000008,42.363543,-71.058602,40003,
canonical-8000008,42.363465,-71.058509,40004,
canonical-8000008,42.363258,-71.058332,40005,
canonical-8000008,42.363191,-71.058281,40006,
canonical-8000008,42.363046,-71.058192,40007,
canonical-8000008,42.363046,-71.058192,50001,
canonical-8000008,42.362973,-71.058147,50002,
canonical-8000008,42.362865,-71.058119,50003,
canonical-8000008,42.362731,-71.058096,50004,
canonical-8000008,42.362562,-71.058051,50005,
canonical-8000008,42.361266,-71.057954,50006,
canonical-8000008,42.361071,-71.057935,50007,
canonical-8000008,42.360960,-71.057951,50008,
canonical-8000008,42.360846,-71.058034,50009,
canonical-8000008,42.359782,-71.058984,50010,
canonical-8000008,42.359534,-71.059220,50011,
canonical-8000008,42.359435,-71.059307,50012,
canonical-8000008,42.359338,-71.059393,50013,
canonical-8000008,42.359338,-71.059393,60001,
canonical-8000008,42.359208,-71.059508,60002,
canonical-8000008,42.359069,-71.059616,60003,
canonical-8000008,42.358080,-71.060329,60004,
canonical-8000008,42.357811,-71.060584,60005,
canonical-8000008,42.357219,-71.061218,60006,
canonical-8000008,42.356984,-71.061489,60007,
canonical-8000008,42.356805,-71.061665,60008,
canonical-8000008,42.356693,-71.061760,60009,
canonical-8000008,42.356581,-71.061887,60010,
canonical-8000008,42.356334,-71.062194,60011,
canonical-8000008,42.356334,-71.062194,70001,
canonical-8000008,42.356219,-71.062336,70002,
canonical-8000008,42.355921,-71.062690,70003,
canonical-8000008,42.355781,-71.062846,70004,
canonical-8000008,42.355624,-71.063034,70005,
canonical-8000008,42.355495,-71.063168,70006,
canonical-8000008,42.355287,-71.063349,70007,
canonical-8000008,42.355047,-71.063499,70008,
canonical-8000008,42.354897,-71.063520,70009,
canonical-8000008,42.354773,-71.063596,70010,
canonical-8000008,42.354517,-71.063713,70011,
canonical-8000008,42.354002,-71.063991,70012,
canonical-8000008,42.353896,-71.064035,70013,
canonical-8000008,42.353725,-71.064129,70014,
canonical-8000008,42.353644,-71.064166,70015,
canonical-8000008,42.353564,-71.064264,70016,
canonical-8000008,42.353351,-71.064363,70017,
canonical-8000008,42.353180,-71.064467,70018,
canonical-8000008,42.353028,-71.064543,70019,
canonical-8000008,42.353014,-71.064548,70020,
canonical-8000008,42.353014,-71.064548,80001,
canonical-8000008,42.352584,-71.064688,80002,
canonical-8000008,42.352532,-71.064751,80003,
canonical-8000008,42.352502,-71.064808,80004,
canonical-8000008,42.352481,-71.064880,80005,
canonical-8000008,42.352464,-71.065040,80006,
canonical-8000008,42.352589,-71.067135,80007,
canonical-8000008,42.352528,-71.067633,80008,
canonical-8000008,42.352427,-71.068292,80009,
canonical-8000008,42.352242,-71.069109,80010,
canonical-8000008,42.351799,-71.070811,80011,
canonical-8000008,42.351799,-71.070811,90001,
canonical-8000008,42.351757,-71.070970,90002,
canonical-8000008,42.349978,-71.077448,90003,
canonical-8000008,42.349978,-71.077448,100001,
canonical-8000008,42.349906,-71.077713,100002,
canonical-8000008,42.349747,-71.078361,100003,
canonical-8000008,42.349615,-71.078855,100004,
canonical-8000008,42.347877,-71.085300,100005,
canonical-8000008,42.347838,-71.085472,100006,
